```

Code output

```
--- Columns identified ---
['PADDED_BADGE_NUMBER', 'OFFICER_DISPLAY_NAME', 'WG2', 'TITLE', 'TYPE', 'YearMonthKey', 'Month_Year', 'Year', 'Month', 'VIOLATION_DATE', 'ISSUE_DATE', 'STATUTE', 'VIOLATION_CATEGORY', 'OFFICER_NAME_RAW', 'NAME_FORMAT_ANOMALY', 'OFFICER_MATCH_QUALITY', 'DATA_QUALITY_SCORE', 'DATA_QUALITY_ISSUES', 'DATA_SOURCE', 'PROCESSED_TIMESTAMP', 'ETL_VERSION', 'Ticket Court Code', 'Ticket Number', 'Case Status Code', 'Case Type Code', 'Entered Date', 'Charge Date', 'Charge Time', 'Agency Id', 'Officer Id', 'Police Unit Id', 'Officer First Name', 'Officer Middle Initial', 'Officer Last Name', 'Court Code', 'Court Name', 'County Name', 'Municipality Name', 'Court State Code', 'Court City', 'Court Zip First', 'Court Zip Last', 'Court Street 1', 'Court Street 2', 'Court Phone 1', 'Court Phone 2', 'Hours Of Operation', 'Jurisdiction Code', 'Violation Description', 'Municipality Of Offense Code', 'Offense Street Name', 'Penalty', 'Pay By Date', 'Court Date', 'Court Time', 'Vehicle Body Code', 'Vehicle Body Description', 'Model Year', 'Vehicle Color Code', 'Color Code Description', 'Make Code', 'Make Description', 'Vehicle VIN', 'License Plate Number', 'License Plate Expiration Date', 'License Plate State Code', 'Is Commercial License', 'Defendant First Name', 'Defendant Middle Initial', 'Defendant Last Name', 'Defendant Address City', 'Defendant Address State Code', 'Defendant Address Zip First', 'Defendant Address Zip Last', 'Defendant Address Street 1', 'Defendant Address Street 2', 'Defendant Phone', 'Defendant Sex Code', 'Defendant Eye Color Code', 'Defendant Eye Color Description', 'Defendant Birth Date', 'Defendant Height', 'Defendant Weight', 'Driver License Number', 'Driver License State Code', 'Driver License Expiration Date', 'Driver License Restriction Class Code', 'Driver License Restriction Class Description', 'Driver License Restriction Type Code', 'Driver License Restriction Type Description', 'Corporate Id', 'Corporate Id State Code', 'Corporate Name', 'Corporate Address City', 'Corporate Address State Code', 'Corporate Address Zip First', 'Corporate Address Zip Last', 'Corporate Address Street 1', 'Corporate Address Street 2', 'Corporate Phone', 'Meter Number/Speed MPH Zone Number', 'Area/Speed MPH', 'Road/Speed Determination Method Code', 'Traffic/Speed Determination Method Description', 'Visibility/Is Commercial Vehicle', 'Equipment/Is Breath Test', 'Equipment Operator Name/Is Construction Zone', 'Operator Id Number/Is Death Serious Body Injury', 'Unit Code/Is Personal Injury', 'Case Number/Is Hazard Material', 'Parking Note/Is Omnibus', 'Is Out Of Service', 'Is Safe Corridor', 'Is Sixty Five MPH', 'Area', 'Road', 'Traffic', 'Visibility', 'Equipment', 'Equipment Operator Name', 'Operator Id Number', 'Unit Code', 'Case Number', 'Moving Note', 'LAST_NAME', 'LAST_NAME_FUZZY_SCORE', 'Column106', 'Column107', 'Column108', 'Column109', 'Column110', 'Column111', 'Column112', 'Column113', 'TICKET_COUNT']

--- Unique Values in Month_Year ---
['01-25', '01-26', '02-25', '02-26', '03-25', '03-26', '04-25', '05-25', '06-25', '07-25', '08-25', '09-25', '10-25', '11-25', '12-25']

Blank/Null Month_Year count: 33

--- YearMonthKey Range ---
Min: 0, Max: 202603

--- Title 39 Classification (TYPE) ---
TYPE
M    5787
P    2550
Name: count, dtype: int64

--- Badge Assignments ---
Badge 0738 WG2 values: ['SSOCC']
Badge 2025 WG2 values: ['TRAFFIC BUREAU' 'SSOCC']
Badge 2025 breakdown by violation:
            VIOLATION_DATE             WG2
293    YYYY-17-DD 10:17:SS  TRAFFIC BUREAU
295    YYYY-19-DD 10:19:SS  TRAFFIC BUREAU
296    YYYY-23-DD 10:23:SS  TRAFFIC BUREAU
298    YYYY-31-DD 10:31:SS  TRAFFIC BUREAU
303    YYYY-51-DD 10:51:SS  TRAFFIC BUREAU
304    YYYY-54-DD 10:54:SS  TRAFFIC BUREAU
305    YYYY-57-DD 10:57:SS  TRAFFIC BUREAU
306    YYYY-02-DD 11:02:SS  TRAFFIC BUREAU
307    YYYY-04-DD 11:04:SS  TRAFFIC BUREAU
309    YYYY-14-DD 11:14:SS  TRAFFIC BUREAU
326    YYYY-36-DD 13:36:SS  TRAFFIC BUREAU
327    YYYY-51-DD 13:51:SS  TRAFFIC BUREAU
328    YYYY-57-DD 13:57:SS  TRAFFIC BUREAU
329    YYYY-59-DD 13:59:SS  TRAFFIC BUREAU
330    YYYY-06-DD 14:06:SS  TRAFFIC BUREAU
331    YYYY-11-DD 14:11:SS  TRAFFIC BUREAU
332    YYYY-47-DD 15:47:SS  TRAFFIC BUREAU
334    YYYY-49-DD 15:49:SS  TRAFFIC BUREAU
335    YYYY-03-DD 16:03:SS  TRAFFIC BUREAU
336    YYYY-07-DD 16:07:SS  TRAFFIC BUREAU
351    YYYY-08-DD 05:08:SS  TRAFFIC BUREAU
353    YYYY-16-DD 05:16:SS  TRAFFIC BUREAU
354    YYYY-24-DD 05:24:SS  TRAFFIC BUREAU
355    YYYY-26-DD 05:26:SS  TRAFFIC BUREAU
356    YYYY-29-DD 05:29:SS  TRAFFIC BUREAU
357    YYYY-39-DD 05:39:SS  TRAFFIC BUREAU
358    YYYY-42-DD 05:42:SS  TRAFFIC BUREAU
359    YYYY-47-DD 05:47:SS  TRAFFIC BUREAU
360    YYYY-49-DD 05:49:SS  TRAFFIC BUREAU
361    YYYY-52-DD 05:52:SS  TRAFFIC BUREAU
362    YYYY-54-DD 05:54:SS  TRAFFIC BUREAU
363    YYYY-56-DD 05:56:SS  TRAFFIC BUREAU
364    YYYY-59-DD 05:59:SS  TRAFFIC BUREAU
365    YYYY-01-DD 06:01:SS  TRAFFIC BUREAU
366    YYYY-04-DD 06:04:SS  TRAFFIC BUREAU
367    YYYY-08-DD 06:08:SS  TRAFFIC BUREAU
368    YYYY-10-DD 06:10:SS  TRAFFIC BUREAU
369    YYYY-12-DD 06:12:SS  TRAFFIC BUREAU
370    YYYY-15-DD 06:15:SS  TRAFFIC BUREAU
371    YYYY-17-DD 06:17:SS  TRAFFIC BUREAU
372    YYYY-18-DD 06:18:SS  TRAFFIC BUREAU
373    YYYY-20-DD 06:20:SS  TRAFFIC BUREAU
374    YYYY-22-DD 06:22:SS  TRAFFIC BUREAU
375    YYYY-46-DD 06:46:SS  TRAFFIC BUREAU
377    YYYY-45-DD 07:45:SS  TRAFFIC BUREAU
390    YYYY-37-DD 10:37:SS  TRAFFIC BUREAU
392    YYYY-45-DD 10:45:SS  TRAFFIC BUREAU
393    YYYY-50-DD 10:50:SS  TRAFFIC BUREAU
394    YYYY-52-DD 10:52:SS  TRAFFIC BUREAU
396    YYYY-00-DD 11:00:SS  TRAFFIC BUREAU
397    YYYY-07-DD 11:07:SS  TRAFFIC BUREAU
398    YYYY-11-DD 11:11:SS  TRAFFIC BUREAU
399    YYYY-13-DD 11:13:SS  TRAFFIC BUREAU
400    YYYY-18-DD 11:18:SS  TRAFFIC BUREAU
401    YYYY-20-DD 11:20:SS  TRAFFIC BUREAU
402    YYYY-21-DD 11:21:SS  TRAFFIC BUREAU
403    YYYY-25-DD 11:25:SS  TRAFFIC BUREAU
406    YYYY-34-DD 11:34:SS  TRAFFIC BUREAU
408    YYYY-39-DD 11:39:SS  TRAFFIC BUREAU
409    YYYY-40-DD 11:40:SS  TRAFFIC BUREAU
410    YYYY-46-DD 11:46:SS  TRAFFIC BUREAU
415    YYYY-15-DD 13:15:SS  TRAFFIC BUREAU
416    YYYY-28-DD 13:28:SS  TRAFFIC BUREAU
417    YYYY-31-DD 13:31:SS  TRAFFIC BUREAU
419    YYYY-44-DD 13:44:SS  TRAFFIC BUREAU
464    YYYY-13-DD 12:13:SS  TRAFFIC BUREAU
465    YYYY-15-DD 12:15:SS  TRAFFIC BUREAU
468    YYYY-21-DD 12:21:SS  TRAFFIC BUREAU
472    YYYY-44-DD 12:44:SS  TRAFFIC BUREAU
474    YYYY-38-DD 13:38:SS  TRAFFIC BUREAU
476    YYYY-45-DD 13:45:SS  TRAFFIC BUREAU
477    YYYY-50-DD 13:50:SS  TRAFFIC BUREAU
478    YYYY-52-DD 13:52:SS  TRAFFIC BUREAU
480    YYYY-01-DD 14:01:SS  TRAFFIC BUREAU
481    YYYY-03-DD 14:03:SS  TRAFFIC BUREAU
482    YYYY-07-DD 14:07:SS  TRAFFIC BUREAU
484    YYYY-14-DD 14:14:SS  TRAFFIC BUREAU
487    YYYY-16-DD 14:16:SS  TRAFFIC BUREAU
488    YYYY-21-DD 14:21:SS  TRAFFIC BUREAU
489    YYYY-23-DD 14:23:SS  TRAFFIC BUREAU
491    YYYY-25-DD 14:25:SS  TRAFFIC BUREAU
492    YYYY-27-DD 14:27:SS  TRAFFIC BUREAU
493    YYYY-30-DD 14:30:SS  TRAFFIC BUREAU
494    YYYY-33-DD 14:33:SS  TRAFFIC BUREAU
495    YYYY-54-DD 14:54:SS  TRAFFIC BUREAU
496    YYYY-57-DD 14:57:SS  TRAFFIC BUREAU
497    YYYY-00-DD 15:00:SS  TRAFFIC BUREAU
498    YYYY-04-DD 15:04:SS  TRAFFIC BUREAU
499    YYYY-16-DD 15:16:SS  TRAFFIC BUREAU
569    YYYY-56-DD 10:56:SS  TRAFFIC BUREAU
571    YYYY-09-DD 11:09:SS  TRAFFIC BUREAU
576    YYYY-12-DD 11:12:SS  TRAFFIC BUREAU
588    YYYY-26-DD 11:26:SS  TRAFFIC BUREAU
591    YYYY-31-DD 11:31:SS  TRAFFIC BUREAU
594    YYYY-37-DD 11:37:SS  TRAFFIC BUREAU
615    YYYY-14-DD 12:14:SS  TRAFFIC BUREAU
648    YYYY-52-DD 14:52:SS  TRAFFIC BUREAU
748    YYYY-47-DD 09:47:SS  TRAFFIC BUREAU
749    YYYY-50-DD 09:50:SS  TRAFFIC BUREAU
752    YYYY-53-DD 09:53:SS  TRAFFIC BUREAU
757    YYYY-07-DD 10:07:SS  TRAFFIC BUREAU
759    YYYY-10-DD 10:10:SS  TRAFFIC BUREAU
760    YYYY-14-DD 10:14:SS  TRAFFIC BUREAU
762    YYYY-21-DD 10:21:SS  TRAFFIC BUREAU
764    YYYY-26-DD 10:26:SS  TRAFFIC BUREAU
772    YYYY-47-DD 10:47:SS  TRAFFIC BUREAU
781    YYYY-16-DD 11:16:SS  TRAFFIC BUREAU
787    YYYY-29-DD 11:29:SS  TRAFFIC BUREAU
792    YYYY-01-DD 12:01:SS  TRAFFIC BUREAU
793    YYYY-03-DD 12:03:SS  TRAFFIC BUREAU
796    YYYY-04-DD 12:04:SS  TRAFFIC BUREAU
797    YYYY-09-DD 12:09:SS  TRAFFIC BUREAU
799    YYYY-12-DD 12:12:SS  TRAFFIC BUREAU
808    YYYY-53-DD 13:53:SS  TRAFFIC BUREAU
814    YYYY-46-DD 14:46:SS  TRAFFIC BUREAU
817    YYYY-33-DD 15:33:SS  TRAFFIC BUREAU
897    YYYY-57-DD 09:57:SS  TRAFFIC BUREAU
912    YYYY-25-DD 10:25:SS  TRAFFIC BUREAU
915    YYYY-34-DD 10:34:SS  TRAFFIC BUREAU
920    YYYY-43-DD 10:43:SS  TRAFFIC BUREAU
927    YYYY-53-DD 10:53:SS  TRAFFIC BUREAU
931    YYYY-55-DD 10:55:SS  TRAFFIC BUREAU
946    YYYY-42-DD 11:42:SS  TRAFFIC BUREAU
947    YYYY-47-DD 11:47:SS  TRAFFIC BUREAU
952    YYYY-27-DD 12:27:SS  TRAFFIC BUREAU
953    YYYY-31-DD 12:31:SS  TRAFFIC BUREAU
966    YYYY-18-DD 15:18:SS  TRAFFIC BUREAU
967    YYYY-19-DD 15:19:SS  TRAFFIC BUREAU
968    YYYY-45-DD 15:45:SS  TRAFFIC BUREAU
969    YYYY-59-DD 15:59:SS  TRAFFIC BUREAU
994    YYYY-14-DD 09:14:SS  TRAFFIC BUREAU
997    YYYY-16-DD 09:16:SS  TRAFFIC BUREAU
1002   YYYY-41-DD 09:41:SS  TRAFFIC BUREAU
1003   YYYY-54-DD 09:54:SS  TRAFFIC BUREAU
1004   YYYY-01-DD 10:01:SS  TRAFFIC BUREAU
1009   YYYY-38-DD 10:38:SS  TRAFFIC BUREAU
1010   YYYY-23-DD 11:23:SS  TRAFFIC BUREAU
1013   YYYY-27-DD 11:27:SS  TRAFFIC BUREAU
1022   YYYY-18-DD 12:18:SS  TRAFFIC BUREAU
1027   YYYY-49-DD 12:49:SS  TRAFFIC BUREAU
1032   YYYY-17-DD 14:17:SS  TRAFFIC BUREAU
1034   YYYY-36-DD 14:36:SS  TRAFFIC BUREAU
1035   YYYY-39-DD 14:39:SS  TRAFFIC BUREAU
1036   YYYY-03-DD 15:03:SS  TRAFFIC BUREAU
1122   YYYY-56-DD 13:56:SS  TRAFFIC BUREAU
1123   YYYY-58-DD 13:58:SS  TRAFFIC BUREAU
1128   YYYY-13-DD 14:13:SS  TRAFFIC BUREAU
1130   YYYY-18-DD 14:18:SS  TRAFFIC BUREAU
1131   YYYY-24-DD 14:24:SS  TRAFFIC BUREAU
1137   YYYY-41-DD 14:41:SS  TRAFFIC BUREAU
1138   YYYY-43-DD 14:43:SS  TRAFFIC BUREAU
1143   YYYY-55-DD 14:55:SS  TRAFFIC BUREAU
1144   YYYY-58-DD 14:58:SS  TRAFFIC BUREAU
1145   YYYY-25-DD 15:25:SS  TRAFFIC BUREAU
1146   YYYY-28-DD 15:28:SS  TRAFFIC BUREAU
1147   YYYY-42-DD 15:42:SS  TRAFFIC BUREAU
1149   YYYY-15-DD 16:15:SS  TRAFFIC BUREAU
1218   YYYY-51-DD 09:51:SS  TRAFFIC BUREAU
1231   YYYY-12-DD 10:12:SS  TRAFFIC BUREAU
1241   YYYY-28-DD 10:28:SS  TRAFFIC BUREAU
1257   YYYY-42-DD 10:42:SS  TRAFFIC BUREAU
1277   YYYY-51-DD 11:51:SS  TRAFFIC BUREAU
1278   YYYY-53-DD 11:53:SS  TRAFFIC BUREAU
1279   YYYY-55-DD 11:55:SS  TRAFFIC BUREAU
1283   YYYY-26-DD 12:26:SS  TRAFFIC BUREAU
1286   YYYY-39-DD 12:39:SS  TRAFFIC BUREAU
1293   YYYY-54-DD 12:54:SS  TRAFFIC BUREAU
1312   YYYY-22-DD 15:22:SS  TRAFFIC BUREAU
1598   YYYY-51-DD 12:51:SS  TRAFFIC BUREAU
1622   YYYY-23-DD 15:23:SS  TRAFFIC BUREAU
1629   YYYY-09-DD 16:09:SS  TRAFFIC BUREAU
1631   YYYY-14-DD 16:14:SS  TRAFFIC BUREAU
1657   YYYY-07-DD 05:07:SS  TRAFFIC BUREAU
1658   YYYY-14-DD 05:14:SS  TRAFFIC BUREAU
1659   YYYY-20-DD 05:20:SS  TRAFFIC BUREAU
1661   YYYY-41-DD 05:41:SS  TRAFFIC BUREAU
1663   YYYY-53-DD 05:53:SS  TRAFFIC BUREAU
1664   YYYY-57-DD 05:57:SS  TRAFFIC BUREAU
1665   YYYY-58-DD 05:58:SS  TRAFFIC BUREAU
1667   YYYY-03-DD 06:03:SS  TRAFFIC BUREAU
1668   YYYY-05-DD 06:05:SS  TRAFFIC BUREAU
1669   YYYY-07-DD 06:07:SS  TRAFFIC BUREAU
1672   YYYY-14-DD 06:14:SS  TRAFFIC BUREAU
1673   YYYY-16-DD 06:16:SS  TRAFFIC BUREAU
1674   YYYY-28-DD 06:28:SS  TRAFFIC BUREAU
1675   YYYY-32-DD 06:32:SS  TRAFFIC BUREAU
1676   YYYY-35-DD 06:35:SS  TRAFFIC BUREAU
1677   YYYY-41-DD 06:41:SS  TRAFFIC BUREAU
1678   YYYY-45-DD 06:45:SS  TRAFFIC BUREAU
1688   YYYY-35-DD 09:35:SS  TRAFFIC BUREAU
1919   YYYY-02-DD 12:02:SS  TRAFFIC BUREAU
1920   YYYY-10-DD 12:10:SS  TRAFFIC BUREAU
1925   YYYY-20-DD 12:20:SS  TRAFFIC BUREAU
1929   YYYY-25-DD 12:25:SS  TRAFFIC BUREAU
1932   YYYY-29-DD 12:29:SS  TRAFFIC BUREAU
1935   YYYY-33-DD 12:33:SS  TRAFFIC BUREAU
1937   YYYY-35-DD 12:35:SS  TRAFFIC BUREAU
1938   YYYY-37-DD 12:37:SS  TRAFFIC BUREAU
1961   YYYY-17-DD 15:17:SS  TRAFFIC BUREAU
1963   YYYY-21-DD 15:21:SS  TRAFFIC BUREAU
3102   YYYY-05-DD 05:05:SS  TRAFFIC BUREAU
3103   YYYY-09-DD 05:09:SS  TRAFFIC BUREAU
3104   YYYY-11-DD 05:11:SS  TRAFFIC BUREAU
3105   YYYY-13-DD 05:13:SS  TRAFFIC BUREAU
3107   YYYY-17-DD 05:17:SS  TRAFFIC BUREAU
3108   YYYY-18-DD 05:18:SS  TRAFFIC BUREAU
3109   YYYY-19-DD 05:19:SS  TRAFFIC BUREAU
3111   YYYY-22-DD 05:22:SS  TRAFFIC BUREAU
3113   YYYY-25-DD 05:25:SS  TRAFFIC BUREAU
3114   YYYY-31-DD 05:31:SS  TRAFFIC BUREAU
3115   YYYY-36-DD 05:36:SS  TRAFFIC BUREAU
3117   YYYY-51-DD 05:51:SS  TRAFFIC BUREAU
3655   YYYY-58-DD 10:58:SS  TRAFFIC BUREAU
3662   YYYY-48-DD 11:48:SS  TRAFFIC BUREAU
3673   YYYY-22-DD 12:22:SS  TRAFFIC BUREAU
3674   YYYY-23-DD 12:23:SS  TRAFFIC BUREAU
3678   YYYY-32-DD 12:32:SS  TRAFFIC BUREAU
3681   YYYY-36-DD 12:36:SS  TRAFFIC BUREAU
3683   YYYY-38-DD 12:38:SS  TRAFFIC BUREAU
3691   YYYY-54-DD 13:54:SS  TRAFFIC BUREAU
3692   YYYY-55-DD 13:55:SS  TRAFFIC BUREAU
3698   YYYY-10-DD 14:10:SS  TRAFFIC BUREAU
3700   YYYY-15-DD 14:15:SS  TRAFFIC BUREAU
3701   YYYY-28-DD 14:28:SS  TRAFFIC BUREAU
3702   YYYY-34-DD 14:34:SS  TRAFFIC BUREAU
3709   YYYY-34-DD 15:34:SS  TRAFFIC BUREAU
3716   YYYY-08-DD 16:08:SS  TRAFFIC BUREAU
3820   YYYY-31-DD 09:31:SS  TRAFFIC BUREAU
3840   YYYY-48-DD 09:48:SS  TRAFFIC BUREAU
3883   YYYY-59-DD 10:59:SS  TRAFFIC BUREAU
3887   YYYY-05-DD 11:05:SS  TRAFFIC BUREAU
3902   YYYY-50-DD 11:50:SS  TRAFFIC BUREAU
3922   YYYY-42-DD 13:42:SS  TRAFFIC BUREAU
3933   YYYY-04-DD 14:04:SS  TRAFFIC BUREAU
3938   YYYY-48-DD 14:48:SS  TRAFFIC BUREAU
4154   YYYY-59-DD 09:59:SS  TRAFFIC BUREAU
4157   YYYY-05-DD 10:05:SS  TRAFFIC BUREAU
4162   YYYY-13-DD 10:13:SS  TRAFFIC BUREAU
4168   YYYY-22-DD 10:22:SS  TRAFFIC BUREAU
4177   YYYY-46-DD 10:46:SS  TRAFFIC BUREAU
4178   YYYY-49-DD 10:49:SS  TRAFFIC BUREAU
4209   YYYY-08-DD 12:08:SS  TRAFFIC BUREAU
4210   YYYY-11-DD 12:11:SS  TRAFFIC BUREAU
4219   YYYY-40-DD 12:40:SS  TRAFFIC BUREAU
4220   YYYY-43-DD 12:43:SS  TRAFFIC BUREAU
4231   YYYY-46-DD 13:46:SS  TRAFFIC BUREAU
4242   YYYY-01-DD 16:01:SS  TRAFFIC BUREAU
4243   YYYY-05-DD 16:05:SS  TRAFFIC BUREAU
4325   YYYY-00-DD 12:00:SS  TRAFFIC BUREAU
4332   YYYY-16-DD 12:16:SS  TRAFFIC BUREAU
4339   YYYY-30-DD 12:30:SS  TRAFFIC BUREAU
4342   YYYY-41-DD 12:41:SS  TRAFFIC BUREAU
4343   YYYY-50-DD 12:50:SS  TRAFFIC BUREAU
4344   YYYY-55-DD 12:55:SS  TRAFFIC BUREAU
4355   YYYY-05-DD 14:05:SS  TRAFFIC BUREAU
4367   YYYY-44-DD 14:44:SS  TRAFFIC BUREAU
4368   YYYY-45-DD 14:45:SS  TRAFFIC BUREAU
4388   YYYY-57-DD 15:57:SS  TRAFFIC BUREAU
4501   YYYY-28-DD 09:28:SS  TRAFFIC BUREAU
4519   YYYY-03-DD 10:03:SS  TRAFFIC BUREAU
4534   YYYY-01-DD 11:01:SS  TRAFFIC BUREAU
4536   YYYY-03-DD 11:03:SS  TRAFFIC BUREAU
4560   YYYY-00-DD 14:00:SS  TRAFFIC BUREAU
4561   YYYY-02-DD 14:02:SS  TRAFFIC BUREAU
4563   YYYY-09-DD 14:09:SS  TRAFFIC BUREAU
4570   YYYY-24-DD 15:24:SS  TRAFFIC BUREAU
